State,Day,Clinton,Trump,Date,Pollster
Colorado,255,38,42,9/13/16,Emerson Coll.-5
Colorado,233.5,37,37,9/1/16,SurveyMonkey-24
Colorado,225.5,41,33,8/16/16,Quinnipiac U.-8
Colorado,220,41,29,8/10/16,Marist Coll.-7
Colorado,192.5,37,28,7/12/16,Anderson Robbins + Shaw-4
Colorado,192.5,48,35,7/12/16,Monmouth U.-4
Colorado,190,39,33,7/11/16,Marist Coll.-7
Colorado,189.5,43,41,7/8/16,Gravis-2
Colorado,174.5,40,39,6/24/16,YouGov-4
Colorado,137,45,37,5/31/16,Morning Consult-31
Colorado,46,44,39,2/29/16,Morning Consult-29
Colorado,1,51,47,1/1/16,Election 2012-1
Connecticut,247.5,50,35,9/5/16,Emerson College-4
Connecticut,233.5,44,33,9/1/16,SurveyMonkey-24
Connecticut,155,41,36,6/5/16,Quinnipiac U.-5
Connecticut,137,45,40,5/31/16,Morning Consult-31
Connecticut,101.5,48,40,4/11/16,Emerson Coll.-2
Connecticut,46,47,36,2/29/16,Morning Consult-29
Connecticut,1,58,40,1/1/16,Election 2012-1
D.C.,137,66,20,5/31/16,Morning Consult-31
D.C.,46,70,17,2/29/16,Morning Consult-29
D.C.,1,91,7,1/1/16,Election 2012-1
Delaware,266,51,30,9/28/16,U. of Delaware-13
Delaware,233.5,43,33,9/1/16,SurveyMonkey-24
Delaware,204,42,32,7/24/16,Fairleigh Dickinson U.-5
Delaware,137,45,39,5/31/16,Morning Consult-31
Delaware,46,47,38,2/29/16,Morning Consult-29
Delaware,1,59,40,1/1/16,Election 2012-1
Florida,294.5,46,43,10/21/16,YouGov-2
Florida,294,49,45,10/20/16,Opinion Savvy-1
Florida,287,48,44,10/16/16,Quinnipiac U.-7
Florida,286.5,46,42,10/13/16,PPP-2
Florida,286,43,45,10/16/16,SurveyMonkey-9
Florida,284.5,47,44,10/11/16,Opinion Savvy-2
Florida,281,49,43,10/9/16,Florida Atlantic Univ.-5
Florida,278,45,42,10/5/16,Marist Coll.-3
Florida,277,44,45,10/4/16,Emerson Coll.-3
Florida,274.5,41,38,10/4/16,U. of Northern Florida-8
Florida,273.5,46,41,10/2/16,Quinnipiac U.-6
Florida,272.5,47,46,9/29/16,Opinion Savvy-2
Florida,272,46,42,9/29/16,Mason Dixon-3
Florida,271.5,45,43,9/28/16,PPP-2
Florida,264,44,45,9/21/16,Suffolk U.-3
Florida,261.5,46,41,9/19/16,Monmouth U.-4
Florida,256,41,40,9/14/16,Siena Coll.-5
Florida,253.5,44,47,9/12/16,Opinion Research-6
Florida,252,44,42,9/9/16,YouGov-3
Florida,251.5,42,46,9/8/16,JMC Analytics-2
Florida,249,43,44,9/6/16,PPP-3
Florida,246.5,43,43,9/7/16,Quinnipiac U.-10
Florida,236,44,42,8/24/16,Mason Dixon-3
Florida,233.5,41,43,8/22/16,Florida Atlantic Univ.-4
Florida,233.5,42,40,9/1/16,SurveyMonkey-24
Florida,229,52,38,8/18/16,Saint Leo U.-5
Florida,226.5,48,39,8/15/16,Monmouth U.-4
Florida,224,45,40,8/12/16,YouGov-3
Florida,223,45,44,8/10/16,Opinion Savvy-1
Florida,220,41,36,8/10/16,Marist Coll.-7
Florida,219,46,43,8/7/16,PPP-3
Florida,216,43,43,8/7/16,Quinnipiac U.-9
Florida,215,43,39,8/3/16,Suffolk U.-3
Florida,191.5,42,47,7/10/16,JMC Analytics-2
Florida,190,41,36,7/11/16,Marist Coll.-7
Florida,187.5,36,41,7/11/16,Quinnipiac U.-12
Florida,178,46,42,6/27/16,SurveyUSA-3
Florida,174.5,44,41,6/24/16,YouGov-4
Florida,165.5,42,36,6/19/16,Quinnipiac U.-12
Florida,155.5,40,41,6/5/16,PPP-4
Florida,153,45,42,6/2/16,Mason-Dixon-3
Florida,138.5,46,42,5/18/16,Gravis-2
Florida,138.5,43,42,5/19/16,YouGov-4
Florida,137,43,42,5/31/16,Morning Consult-31
Florida,123.5,43,42,5/8/16,Quinnipiac U.-12
Florida,67,49,41,3/10/16,Marist Coll.-7
Florida,65,44,45,3/6/16,SurveyUSA-3
Florida,64,50,43,3/6/16,Opinion Rsearch.-5
Florida,55,44,46,2/24/16,PPP-1
Florida,46,43,43,2/29/16,Morning Consult-29
Florida,33.5,45,38,2/6/16,Florida Southern Coll.-8
Florida,16.5,44,47,1/18/16,Florida Atlantic U.-4
Florida,1,50,49,1/1/16,Election 2012-1
Georgia,294,46,50,10/20/16,Opinion Savvy-1
Georgia,292.5,42,44,10/20/16,AbtSRBI-4
Georgia,286,45,41,10/16/16,SurveyMonkey-9
Georgia,265,38,44,9/22/16,JMC Analytics-3
Georgia,261,40,47,9/21/16,Quinnipiac U.-9
Georgia,260.5,42,45,9/18/16,Monmouth U.-4
Georgia,258,42,46,9/14/16,Opinion Savvy-1
Georgia,255,39,45,9/13/16,Emerson Coll.-5
Georgia,251,42,44,9/8/16,Marist Coll.-3
Georgia,233.5,39,40,9/1/16,SurveyMonkey-24
Georgia,230,43,43,8/17/16,Opinion Savvy-1
Georgia,224,41,45,8/12/16,YouGov-3
Georgia,219.5,44,37,8/7/16,JMC Analytics-2
Georgia,219,39,43,8/8/16,Gravis-5
Georgia,215.5,41,38,8/4/16,Abt SRBI-4
Georgia,212,42,46,7/31/16,SurveyUSA-3
Georgia,149.5,40,49,5/30/16,PPP-4
Georgia,137,43,42,5/31/16,Morning Consult-31
Georgia,136,41,44,5/15/16,Opinion Savvy-1
Georgia,131.5,41,45,5/12/16,Abt SRBI-4
Georgia,53.5,41,50,2/23/16,SurveyUSA-2
Georgia,46,39,45,2/29/16,Morning Consult-29
Georgia,1,45,53,1/1/16,Election 2012-1
Hawaii,233.5,51,25,9/1/16,SurveyMonkey-24
Hawaii,137,50,31,5/31/16,Morning Consult-31
Hawaii,46,54,29,2/29/16,Morning Consult-29
Hawaii,1,71,28,1/1/16,Election 2012-1
Idaho,277.5,30,40,10/9/16,Dan Jones-12
Idaho,237.5,23,44,8/31/16,Dan Jones-14
Idaho,233.5,25,44,9/1/16,SurveyMonkey-24
Idaho,192.5,23,44,7/16/16,Dan Jones-12
Idaho,137,34,45,5/31/16,Morning Consult-31
Idaho,46,32,51,2/29/16,Morning Consult-29
Idaho,1,33,65,1/1/16,Election 2012-1
Illinois,273.5,53,28,10/2/16,Southern Illinois U.-6
Illinois,266.5,49,35,9/24/16,Victory Research-4
Illinois,264,45,39,9/21/16,Emerson Coll.-3
Illinois,258.5,43,30,9/16/16,Loras College-4
Illinois,233.5,45,31,9/1/16,SurveyMonkey-24
Illinois,197,51,34,7/16/16,Victory Research-3
Illinois,137,48,35,5/31/16,Morning Consult-31
Illinois,46,51,33,2/29/16,Morning Consult-29
Illinois,1,57,41,1/1/16,Election 2012-1
Indiana,287,37,43,10/16/16,Ball State U.-7
Indiana,286,41,45,10/13/16,Monmouth U.-3
Indiana,278,38,43,10/5/16,Howey Politics Indiana-3
Indiana,251,36,43,9/8/16,Howey-DePauw-3
Indiana,233.5,30,46,9/1/16,SurveyMonkey-24
Indiana,227.5,36,47,8/16/16,Monmouth U.-4
Indiana,137,37,45,5/31/16,Morning Consult-31
Indiana,118,41,48,4/28/16,Marist Coll.-3
Indiana,110.5,39,47,4/21/16,Howey Politics-4
Indiana,46,41,42,2/29/16,Morning Consult-29
Indiana,1,44,54,1/1/16,Election 2012-1
Iowa,286,40,45,10/16/16,SurveyMonkey-9
Iowa,278.5,39,43,10/6/16,Selzer-4
Iowa,265,38,38,9/22/16,Loras College-3
Iowa,261,37,44,9/21/16,Quinnipiac U.-9
Iowa,257,37,45,9/14/16,Monmouth U.-3
Iowa,251,39,40,9/8/16,RABA Research-3
Iowa,244.5,39,44,9/1/16,Emerson College-2
Iowa,243.5,45,43,8/31/16,PPP-2
Iowa,233.5,36,40,9/1/16,SurveyMonkey-24
Iowa,231,40,40,8/19/16,YouGov-3
Iowa,225.5,41,39,8/16/16,Quinnipiac U.-8
Iowa,222,36,37,8/10/16,Suffolk U.-3
Iowa,218,35,35,8/7/16,Marist Coll.-5
Iowa,196,39,40,7/15/16,YouGov-3
Iowa,191.5,42,44,7/11/16,Monmouth U.-4
Iowa,189.5,42,40,7/8/16,Gravis-2
Iowa,189.5,37,37,7/10/16,Marist Coll.-6
Iowa,178,44,31,6/28/16,Loras Coll.-5
Iowa,174.5,41,39,6/23/16,PPP-2
Iowa,163,44,41,6/13/16,PPP-5
Iowa,137,40,40,5/31/16,Morning Consult-31
Iowa,46,45,38,2/29/16,Morning Consult-29
Iowa,9,42,42,1/10/16,PPP-3
Iowa,4.5,48,40,1/7/16,Marist Coll.-6
Iowa,1,52,47,1/1/16,Election 2012-1
Kansas,287,36,47,10/15/16,SurveyUSA-5
Kansas,252.5,36,48,9/11/16,SurveyUSA-6
Kansas,233.5,30,43,9/1/16,SurveyMonkey-24
Kansas,218,39,44,8/7/16,SurveyUSA-5
Kansas,198,27,44,7/21/16,Fort Hays State U.-11
Kansas,191.5,36,47,7/11/16,SurveyUSA-4
Kansas,137,35,46,5/31/16,Morning Consult-31
Kansas,46,37,43,2/29/16,Morning Consult-29
Kansas,1,38,60,1/1/16,Election 2012-1
Kentucky,233.5,29,52,9/1/16,SurveyMonkey-24
Kentucky,137,35,49,5/31/16,Morning Consult-31
Kentucky,46,38,46,2/29/16,Morning Consult-29
Kentucky,1,38,61,1/1/16,Election 2012-1
Louisiana,292,34,54,10/19/16,Mason Dixon-3
Louisiana,267,35,45,9/24/16,JMC Analytics-3
Louisiana,260,33,49,9/17/16,Opinion Research-3
Louisiana,233.5,33,49,9/1/16,SurveyMonkey-24
Louisiana,137,33,51,5/31/16,Morning Consult-31
Louisiana,126.5,36,52,5/6/16,JMC Analytics-2
Louisiana,46,35,50,2/29/16,Morning Consult-29
Louisiana,1,41,58,1/1/16,Election 2012-1
Maine,288.5,42,36,10/15/16,Maine Peoples Res. Ctr.-2
Maine,282,44,36,10/9/16,Maine Peoples Res. Ctr.-3
Maine,261.5,40,36,9/20/16,U. of New Hampshire-6
Maine,260,37,37,9/17/16,MPRC-3
Maine,251,42,39,9/10/16,SurveyUSA-7
Maine,247.5,44,35,9/5/16,Emerson College-4
Maine,233.5,37,34,9/1/16,SurveyMonkey-24
Maine,219,43,33,8/8/16,Gravis-5
Maine,170,42,35,6/21/16,U. of New Hampshire-7
Maine,137,39,41,5/31/16,Morning Consult-31
Maine,46,41,42,2/29/16,Morning Consult-29
Maine,1,56,41,1/1/16,Election 2012-1
Maryland,272.5,63,27,9/30/16,U. of Maryland-4
Maryland,262.5,58,25,9/20/16,Goucher College-4
Maryland,237,54,25,8/30/16,OpinionWorks-13
Maryland,233.5,54,27,9/1/16,SurveyMonkey-24
Maryland,137,51,33,5/31/16,Morning Consult-31
Maryland,107,61,28,4/17/16,PPP-3
Maryland,98,63,27,4/9/16,Marist Coll.-5
Maryland,92,63,28,4/3/16,Washington Post-5
Maryland,46,52,32,2/29/16,Morning Consult-29
Maryland,1,62,37,1/1/16,Election 2012-1
Massachusetts,288.5,54,28,10/16/16,MassINC-4
Massachusetts,272.5,58,26,10/3/16,Western New England U.-10
Massachusetts,261.5,47,34,9/20/16,U. of Mass.-6
Massachusetts,252.5,54,28,9/10/16,MassINC-4
Massachusetts,248,50,33,9/5/16,Emerson College-3
Massachusetts,233.5,48,29,9/1/16,SurveyMonkey-24
Massachusetts,137,50,33,5/31/16,Morning Consult-31
Massachusetts,124.5,55,31,5/5/16,Suffolk U.-4
Massachusetts,96.5,62,36,4/10/16,Western New England U.-10
Massachusetts,46,49,37,2/29/16,Morning Consult-29
Massachusetts,1,61,38,1/1/16,Election 2012-1
Michigan,291.5,41,36,10/19/16,Marketing Resource Grp.-4
Michigan,286,45,37,10/16/16,SurveyMonkey-9
Michigan,284.5,42,31,10/11/16,Glengariff Group-2
Michigan,276,43,32,10/3/16,EPIC MRA-3
Michigan,271.5,42,35,9/28/16,Glengariff Group-2
Michigan,265,46,41,9/24/16,Target Insyght-7
Michigan,255.5,38,35,9/13/16,EPIC MRA-4
Michigan,239.5,45,40,8/28/16,Emerson Coll.-4
Michigan,236,44,37,8/24/16,Suffolk U.-3
Michigan,233.5,39,38,9/1/16,SurveyMonkey-24
Michigan,214.5,43,32,8/4/16,EPIC MRA-6
Michigan,213,41,32,8/1/16,DetroitNews/Glengariff-3
Michigan,196,42,39,7/15/16,YouGov-3
Michigan,195,34,29,7/15/16,Marketing Resource Grp.-5
Michigan,146,43,39,5/26/16,Glengariff Group-3
Michigan,137,42,39,5/31/16,Morning Consult-31
Michigan,83.5,49,38,3/24/16,SurveyUSA-2
Michigan,80.5,47,37,3/22/16,EPIC-MRA-4
Michigan,62,52,36,3/3/16,Marist Coll.-3
Michigan,46,42,41,2/29/16,Morning Consult-29
Michigan,1,54,45,1/1/16,Election 2012-1
Minnesota,285.5,48,35,10/13/16,SurveyUSA-4
Minnesota,262,46,39,9/20/16,SurveyUSA-5
Minnesota,257,44,38,9/14/16,Mason Dixon-3
Minnesota,233.5,41,34,9/1/16,SurveyMonkey-24
Minnesota,137,45,35,5/31/16,Morning Consult-31
Minnesota,117,48,35,4/27/16,Star Tribune-3
Minnesota,46,44,39,2/29/16,Morning Consult-29
Minnesota,19,43,38,1/20/16,Mason-Dixon-3
Minnesota,1,53,45,1/1/16,Election 2012-1
Mississippi,233.5,43,46,9/1/16,SurveyMonkey-24
Mississippi,137,33,51,5/31/16,Morning Consult-31
Mississippi,89,43,46,3/30/16,Mason-Dixon-3
Mississippi,46,32,54,2/29/16,Morning Consult-29
Mississippi,1,44,56,1/1/16,Election 2012-1
Missouri,292,39,47,10/19/16,Emerson Coll.-3
Missouri,284,41,46,10/11/16,Monmouth U.-3
Missouri,266,37,46,9/23/16,YouGov-3
Missouri,255,34,47,9/13/16,Emerson Coll.-5
Missouri,239.5,41,47,8/27/16,PPP-2
Missouri,233.5,43,44,8/22/16,Monmouth U.-4
Missouri,233.5,34,43,9/1/16,SurveyMonkey-24
Missouri,221.5,42,45,8/9/16,PPP-2
Missouri,205.5,41,40,7/24/16,Mason Dixon-2
Missouri,204,37,47,7/24/16,SurveyUSA-5
Missouri,193,36,46,7/11/16,PPP-1
Missouri,137,37,45,5/31/16,Morning Consult-31
Missouri,66.5,38,43,3/10/16,Fort Hays State U.-8
Missouri,46,38,45,2/29/16,Morning Consult-29
Missouri,1,44,54,1/1/16,Election 2012-1
Montana,285,36,46,10/12/16,Mason Dixon-3
Montana,233.5,31,44,9/1/16,SurveyMonkey-24
Montana,137,36,45,5/31/16,Morning Consult-31
Montana,46,35,47,2/29/16,Morning Consult-29
Montana,1,41,55,1/1/16,Election 2012-1
Nebraska,270,29,56,9/27/16,Emerson Coll.-3
Nebraska,233.5,32,42,9/1/16,SurveyMonkey-24
Nebraska,137,35,48,5/31/16,Morning Consult-31
Nebraska,46,35,48,2/29/16,Morning Consult-29
Nebraska,1,38,61,1/1/16,Election 2012-1
Nevada,289.5,47,40,10/17/16,Monmouth U.-4
Nevada,287,46,40,10/14/16,YouGov-3
Nevada,286.5,46,44,10/15/16,Opinion Research-6
Nevada,286,40,44,10/16/16,SurveyMonkey-9
Nevada,284.5,47,43,10/11/16,PPP-2
Nevada,277,43,43,10/4/16,Emerson Coll.-3
Nevada,273.5,44,41,10/2/16,Repass Research/Hart-6
Nevada,272,44,38,9/29/16,Suffolk U.-3
Nevada,272,45,44,9/29/16,Bendixen-3
Nevada,263,40,43,9/20/16,Fox News-3
Nevada,261,39,42,9/18/16,Rasmussen-3
Nevada,256,42,44,9/13/16,Monmouth U.-3
Nevada,251,41,42,9/8/16,Marist Coll.-3
Nevada,250.5,45,42,9/7/16,PPP-2
Nevada,233.5,40,37,9/1/16,SurveyMonkey-24
Nevada,229,44,42,8/17/16,Suffolk U.-3
Nevada,216.5,43,41,8/5/16,YouGov-4
Nevada,212,41,40,7/31/16,Rasmussen-3
Nevada,205,38,43,7/24/16,Rasmussen-3
Nevada,190.5,45,41,7/10/16,Monmouth U.-4
Nevada,137,44,40,5/31/16,Morning Consult-31
Nevada,46,44,42,2/29/16,Morning Consult-29
Nevada,1,52,46,1/1/16,Election 2012-1
New Hampshire,292,44,36,10/19/16,Emerson Coll.-3
New Hampshire,288,49,34,10/17/16,U. of New Hampshire-7
New Hampshire,286,47,36,10/16/16,SurveyMonkey-9
New Hampshire,285,41,38,10/12/16,MassINC-3
New Hampshire,283,45,39,10/11/16,UMass Lowell-5
New Hampshire,278,44,42,10/5/16,Suffolk U.-3
New Hampshire,272,42,35,9/29/16,MassINC-3
New Hampshire,266.5,46,42,9/25/16,ARG-6
New Hampshire,262.5,47,38,9/20/16,Monmouth U.-4
New Hampshire,251,39,37,9/8/16,Marist Coll.-3
New Hampshire,248,42,37,9/5/16,Emerson College-3
New Hampshire,243.5,46,41,8/31/16,PPP-2
New Hampshire,240,46,40,8/28/16,PPP-3
New Hampshire,237,43,32,8/28/16,U. of New Hampshire-9
New Hampshire,233.5,40,34,9/1/16,SurveyMonkey-24
New Hampshire,224,45,36,8/12/16,YouGov-3
New Hampshire,219,50,37,8/7/16,PPP-3
New Hampshire,202,39,48,7/21/16,Inside Sources-3
New Hampshire,195.5,37,37,7/18/16,U. of New Hampshire-10
New Hampshire,178,47,42,6/28/16,ARG-5
New Hampshire,174.5,43,39,6/23/16,PPP-2
New Hampshire,147.5,44,44,5/28/16,Franklin Pierce U.-4
New Hampshire,142,41,43,5/22/16,PPP-3
New Hampshire,137,41,41,5/31/16,Morning Consult-31
New Hampshire,134.5,44,42,5/15/16,MassINC-4
New Hampshire,114,44,44,4/24/16,PPP-3
New Hampshire,104.5,34,30,4/16/16,Dartmouth Coll.-6
New Hampshire,103,50,31,4/17/16,U. of New Hampshire-11
New Hampshire,55,47,39,2/28/16,U. of New Hampshire-9
New Hampshire,46,43,39,2/29/16,Morning Consult-29
New Hampshire,37,45,40,2/7/16,U. of Mass.-3
New Hampshire,15.5,48,39,1/18/16,U. of New Hampshire-6
New Hampshire,5,47,41,1/6/16,PPP-3
New Hampshire,4.5,45,44,1/7/16,Marist coll.-6
New Hampshire,1,52,46,1/1/16,Election 2012-1
New Jersey,288,49,35,10/16/16,Fairleigh Dickinson U.-5
New Jersey,269.5,46,40,9/29/16,Stockton Polling-8
New Jersey,252,50,29,9/10/16,Rutgers-Eagleton-5
New Jersey,247.5,47,43,9/5/16,Emerson College-4
New Jersey,233.5,49,34,9/1/16,SurveyMonkey-24
New Jersey,176,44,32,6/26/16,Fairleigh Dickinson U.-5
New Jersey,153.5,49,34,6/3/16,YouGov-4
New Jersey,146,37,31,5/27/16,Monmouth U.-5
New Jersey,141,48,37,5/22/16,Fairleigh Dickinson U.-5
New Jersey,137,46,37,5/31/16,Morning Consult-31
New Jersey,134,45,38,5/16/16,Quinnipiac U.-7
New Jersey,95.5,50,36,4/8/16,Rutgers-Eagleton-8
New Jersey,46,44,40,2/29/16,Morning Consult-29
New Jersey,1,58,41,1/1/16,Election 2012-1
New Mexico,286,41,33,10/16/16,SurveyMonkey-9
New Mexico,274,46,33,10/2/16,SurveyUSA-5
New Mexico,272,35,31,9/29/16,Research and Polling-3
New Mexico,233.5,37,29,9/1/16,SurveyMonkey-24
New Mexico,233,40,31,8/21/16,PPP-3
New Mexico,137,43,40,5/31/16,Morning Consult-31
New Mexico,135,41,33,5/15/16,PPP-3
New Mexico,46,45,40,2/29/16,Morning Consult-29
New Mexico,1,53,43,1/1/16,Election 2012-1
New York,289,54,30,10/17/16,Siena Coll.-5
New York,266,52,31,9/23/16,Marist Coll.-3
New York,257,51,30,9/15/16,Siena Coll.-5
New York,242,52,34,8/30/16,Emerson College-3
New York,233.5,51,31,9/1/16,SurveyMonkey-24
New York,221.5,50,25,8/10/16,Siena Coll.-4
New York,219,48,34,8/8/16,Gravis-5
New York,197,45,33,7/17/16,Quinnipiac U.-5
New York,177,54,31,6/28/16,Siena Coll.-7
New York,145,52,31,5/26/16,Siena Coll.-5
New York,137,51,34,5/31/16,Morning Consult-31
New York,116.5,56,30,4/27/16,Siena Coll.-4
New York,107.5,55,36,4/17/16,Emerson Coll.-2
New York,99.5,55,35,4/10/16,PPP-4
New York,99,61,32,4/10/16,Marist Coll.-5
New York,98.5,51,35,4/10/16,Baruch coll.-6
New York,97.5,54,36,4/7/16,Emerson Coll.-2
New York,96.5,53,37,4/7/16,Anderson Robbins + Shaw-4
New York,85.5,53,33,3/29/16,Quinnipiac U.-8
New York,75,55,36,3/16/16,Emerson Coll.-3
New York,61,57,34,3/3/16,Siena Coll.-5
New York,46,53,34,2/29/16,Morning Consult-29
New York,32.5,57,32,2/3/16,Siena Coll.-4
New York,1,63,36,1/1/16,Election 2012-1
North Carolina,289.5,46,44,10/17/16,SurveyUSA-4
North Carolina,286.5,48,47,10/15/16,Opinion Research-6
North Carolina,286,46,40,10/16/16,SurveyMonkey-9
North Carolina,285,45,41,10/12/16,Marist Coll.-3
North Carolina,285,45,43,10/12/16,Suffolk U.-3
North Carolina,285,46,42,10/12/16,Emerson Coll.-3
North Carolina,277.5,43,42,10/6/16,High Point U.-6
North Carolina,275,46,44,10/3/16,SurveyUSA-5
North Carolina,274.5,44,43,10/2/16,Selzer-4
North Carolina,273.5,46,43,10/2/16,Quinnipiac U.-6
North Carolina,272.5,45,39,9/30/16,Elon U.-4
North Carolina,271.5,44,42,9/28/16,PPP-2
North Carolina,264,38,35,9/22/16,Meredith College-5
North Carolina,263.5,43,42,9/22/16,High Point U.-6
North Carolina,263,40,45,9/20/16,Fox News-3
North Carolina,263,43,45,9/20/16,PPP-3
North Carolina,261.5,41,41,9/19/16,Siena Coll.-4
North Carolina,258,43,44,9/16/16,Elon U.-5
North Carolina,250,41,44,9/7/16,Suffolk U.-3
North Carolina,246.5,42,38,9/7/16,Quinnipiac U.-10
North Carolina,244.5,46,42,9/2/16,YouGov-4
North Carolina,241,43,45,8/29/16,Emerson College-3
North Carolina,239.5,45,44,8/27/16,PPP-2
North Carolina,234.5,44,42,8/23/16,Monmouth U.-4
North Carolina,233.5,45,45,8/23/16,Opinion Research-6
North Carolina,233.5,40,41,9/1/16,SurveyMonkey-24
North Carolina,229,38,39,8/17/16,Gravis-3
North Carolina,220,45,36,8/10/16,Marist Coll.-7
North Carolina,219,43,41,8/7/16,PPP-3
North Carolina,214,42,46,8/2/16,SurveyUSA-3
North Carolina,190,42,36,7/11/16,Marist Coll.-7
North Carolina,174.5,44,42,6/24/16,YouGov-4
North Carolina,172.5,43,43,6/21/16,PPP-2
North Carolina,142,41,43,5/22/16,PPP-3
North Carolina,137,40,43,5/31/16,Morning Consult-31
North Carolina,103.5,45,39,4/15/16,Elon U.-6
North Carolina,79,44,42,3/20/16,PPP-3
North Carolina,69.5,42,49,3/10/16,SurveyUSA-2
North Carolina,48,47,41,2/19/16,Elon U.-5
North Carolina,46,43,44,2/16/16,PPP-3
North Carolina,46,43,45,2/16/16,SurveyUSA-3
North Carolina,46,38,47,2/29/16,Morning Consult-29
North Carolina,18.5,43,45,1/19/16,PPP-2
North Carolina,1,48,51,1/1/16,Election 2012-1
North Dakota,258.5,32,43,9/17/16,DFM Research-6
North Dakota,233.5,26,51,9/1/16,SurveyMonkey-24
North Dakota,137,36,44,5/31/16,Morning Consult-31
North Dakota,46,35,46,2/29/16,Morning Consult-29
North Dakota,1,39,59,1/1/16,Election 2012-1
Ohio,292,45,45,10/19/16,Suffolk U.-3
Ohio,287,45,45,10/16/16,Quinnipiac U.-7
Ohio,286.5,44,48,10/15/16,Opinion Research-6
Ohio,286,41,44,10/16/16,SurveyMonkey-9
Ohio,285,41,42,10/12/16,Marist Coll.-3
Ohio,285,45,43,10/12/16,Emerson Coll.-3
Ohio,284,43,34,10/11/16,Baldwin Wallace U.-3
Ohio,280,46,42,10/7/16,YouGov-3
Ohio,279.5,44,43,10/6/16,PPP-2
Ohio,278.5,43,40,10/6/16,TargetSmart/William + Mary-4
Ohio,276.5,44,42,10/4/16,Monmouth U.-4
Ohio,273.5,42,47,10/2/16,Quinnipiac U.-6
Ohio,263,37,42,9/20/16,Fox News-3
Ohio,262.5,40,37,9/22/16,TargetSmart-8
